student_ID,program_number,entry_year,entry_semester,course,theory,practice,laboratory,total_hours,year,semester,situation,gender,final_grade,lecturer
FING-4306,1363,2012,1,Cal 1,6,2,0,8,2012,1,A,2,4.1,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130
FING-1799,1363,2012,1,Alg 1,6,2,0,8,2012,1,A,2,5.8,8f76c3c9624622bf49eaf281bc72c03859c96fa850b904deafda3adcacf92130
FING-1802,1363,2012,1,Alg 1,6,2,0,8,2012,1,A,2,4.0,f51f50b6d923093ff466423a01271d69d3ed7645a90aef7bb29b284cbb1758d5
FING-1802,1363,2012,1,Cal 1,6,2,0,8,2012,1,A,2,4.5,0154fe4ae37826fd1f2ceb729ebea5196b8b604e160370507a698fdf6dcb5abb
FING-192,1363,2013,1,Cal 1,6,2,0,8,2013,1,R,2,2.6,3d76c8b48c5ed6f81f69c9727e34c44c6b575dd4e5537e9c0d33bfbfe40ffd31
FING-13105,1363,2013,1,Cal 1,6,2,0,8,2013,1,R,1,2.7,3d76c8b48c5ed6f81f69c9727e34c44c6b575dd4e5537e9c0d33bfbfe40ffd31
FING-13134,1363,2013,1,Cal 1,6,2,0,8,2013,1,R,2,2.3,3d76c8b48c5ed6f81f69c9727e34c44c6b575dd4e5537e9c0d33bfbfe40ffd31
FING-683,1363,2013,1,IPD Workshop,2,0,2,4,2013,1,A,2,5.4,ada7a87fce58b508aaaba4509ff1384837d86518543780df3cfacbbbbb5191cf
FING-12915,1363,2012,2,Chemistry,4,2,0,6,2013,1,R,1,2.8,fb602df840621f7a0cfeed69e3290b13e75c22541d4cc37913ae02229ff82bf1
FING-4321,1363,2012,1,Chemistry,4,2,0,6,2013,1,R,2,3.3,b25c3cc56214b05ff7b1a4b5b934ce04c756dbe448f01b5f5f86d8c991de34d6
FING-4319,1363,2012,1,Progr Methd,4,2,2,8,2013,1,A,2,4.8,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-4312,1363,2012,1,Progr Methd,4,2,2,8,2013,1,A,2,5.1,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-1662,1363,2013,1,Progr Methd,4,2,2,8,2013,1,A,2,5.2,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-1799,1363,2012,1,Progr Methd,4,2,2,8,2013,1,A,2,5.9,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-4323,1363,2012,1,Progr Methd,4,2,2,8,2013,1,A,2,5.5,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-4313,1363,2012,1,Progr Methd,4,2,2,8,2013,1,R,2,3.3,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-4306,1363,2012,1,Progr Methd,4,2,2,8,2013,1,A,2,4.9,21b4f61ec920768b67695abe34bef0855795ccb2ec7a57100ad52cc06a118ac2
FING-5750,1363,2013,1,Alg 1,6,2,0,8,2013,1,R,2,3.7,29515579f1f72c90bb687a58351f21ab9cbfbf85da8ce3968de43412bb458b37
FING-4307,1363,2013,1,Alg 1,6,2,0,8,2013,1,A,2,5.3,29515579f1f72c90bb687a58351f21ab9cbfbf85da8ce3968de43412bb458b37
FING-4323,1363,2012,1,Elect & Mag,4,2,1,7,2014,1,R,2,2.3,9744ebe904d1dae33b54c1c59f8db4d9dab8e4debd45879372d42e3cbe6cdee8
FING-12860,1363,2012,1,Anthropology and Engineering,4,0,0,4,2014,2,A,2,6.1,28705518ad54de7ff7a728187f822af28090208020a6a3846171a17906851fe5
